0	0
0.01	0.0627905
0.02	0.125333
0.03	0.187381
0.04	0.24869
0.05	0.309017
0.06	0.368125
0.07	0.425779
0.08	0.481754
0.09	0.535827
0.1	0.587785
0.11	0.637424
0.12	0.684547
0.13	0.728969
0.14	0.770513
0.15	0.809017
0.16	0.844328
0.17	0.876307
0.18	0.904827
0.19	0.929776
0.2	0.951057
0.21	0.968583
0.22	0.982287
0.23	0.992115
0.24	0.998027
0.25	1
0.26	0.998027
0.27	0.992115
0.28	0.982287
0.29	0.968583
0.3	0.951057
0.31	0.929776
0.32	0.904827
0.33	0.876307
0.34	0.844328
0.35	0.809017
0.36	0.770513
0.37	0.728969
0.38	0.684547
0.39	0.637424
0.4	0.587785
0.41	0.535827
0.42	0.481754
0.43	0.425779
0.44	0.368125
0.45	0.309017
0.46	0.24869
0.47	0.187381
0.48	0.125333
0.49	0.0627905
0.5	1.22E-16
0.51	-0.0627905
0.52	-0.125333
0.53	-0.187381
0.54	-0.24869
0.55	-0.309017
0.56	-0.368125
0.57	-0.425779
0.58	-0.481754
0.59	-0.535827
0.6	-0.587785
0.61	-0.637424
0.62	-0.684547
0.63	-0.728969
0.64	-0.770513
0.65	-0.809017
0.66	-0.844328
0.67	-0.876307
0.68	-0.904827
0.69	-0.929776
0.7	-0.951057
0.71	-0.968583
0.72	-0.982287
0.73	-0.992115
0.74	-0.998027
0.75	-1
0.76	-0.998027
0.77	-0.992115
0.78	-0.982287
0.79	-0.968583
0.8	-0.951057
0.81	-0.929776
0.82	-0.904827
0.83	-0.876307
0.84	-0.844328
0.85	-0.809017
0.86	-0.770513
0.87	-0.728969
0.88	-0.684547
0.89	-0.637424
0.9	-0.587785
0.91	-0.535827
0.92	-0.481754
0.93	-0.425779
0.94	-0.368125
0.95	-0.309017
0.96	-0.24869
0.97	-0.187381
0.98	-0.125333
0.99	-0.0627905
1	-2.45E-16
1.01	0.0627905
1.02	0.125333
1.03	0.187381
1.04	0.24869
1.05	0.309017
1.06	0.368125
1.07	0.425779
1.08	0.481754
1.09	0.535827
1.1	0.587785
1.11	0.637424
1.12	0.684547
1.13	0.728969
1.14	0.770513
1.15	0.809017
1.16	0.844328
1.17	0.876307
1.18	0.904827
1.19	0.929776
1.2	0.951057
1.21	0.968583
1.22	0.982287
1.23	0.992115
1.24	0.998027
1.25	1
1.26	0.998027
1.27	0.992115
1.28	0.982287
1.29	0.968583
1.3	0.951057
1.31	0.929776
1.32	0.904827
1.33	0.876307
1.34	0.844328
1.35	0.809017
1.36	0.770513
1.37	0.728969
1.38	0.684547
1.39	0.637424
1.4	0.587785
1.41	0.535827
1.42	0.481754
1.43	0.425779
1.44	0.368125
1.45	0.309017
1.46	0.24869
1.47	0.187381
1.48	0.125333
1.49	0.0627905
1.5	3.67E-16
1.51	-0.0627905
1.52	-0.125333
1.53	-0.187381
1.54	-0.24869
1.55	-0.309017
1.56	-0.368125
1.57	-0.425779
1.58	-0.481754
1.59	-0.535827
1.6	-0.587785
1.61	-0.637424
1.62	-0.684547
1.63	-0.728969
1.64	-0.770513
1.65	-0.809017
1.66	-0.844328
1.67	-0.876307
1.68	-0.904827
1.69	-0.929776
1.7	-0.951057
1.71	-0.968583
1.72	-0.982287
1.73	-0.992115
1.74	-0.998027
1.75	-1
1.76	-0.998027
1.77	-0.992115
1.78	-0.982287
1.79	-0.968583
1.8	-0.951057
1.81	-0.929776
1.82	-0.904827
1.83	-0.876307
1.84	-0.844328
1.85	-0.809017
1.86	-0.770513
1.87	-0.728969
1.88	-0.684547
1.89	-0.637424
1.9	-0.587785
1.91	-0.535827
1.92	-0.481754
1.93	-0.425779
1.94	-0.368125
1.95	-0.309017
1.96	-0.24869
1.97	-0.187381
1.98	-0.125333
1.99	-0.0627905
2	-4.90E-16
2.01	0.0627905
2.02	0.125333
2.03	0.187381
2.04	0.24869
2.05	0.309017
2.06	0.368125
2.07	0.425779
2.08	0.481754
2.09	0.535827
2.1	0.587785
2.11	0.637424
2.12	0.684547
2.13	0.728969
2.14	0.770513
2.15	0.809017
2.16	0.844328
2.17	0.876307
2.18	0.904827
2.19	0.929776
2.2	0.951057
2.21	0.968583
2.22	0.982287
2.23	0.992115
2.24	0.998027
